norm_title,pages,domains,sample_urls
studio 07,10,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-07 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM1-Studios/studio-07 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-07 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM2-Studios/studio-07 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-07
success stories and case studies,10,1,https://research.unimelb.edu.au/partnerships/case-studies ; https://research.unimelb.edu.au/partnerships/case-studies?queries_tags_query=3955199 ; https://research.unimelb.edu.au/partnerships/case-studies?queries_tags_query=3955199&result_4126600_result_page=2 ; https://research.unimelb.edu.au/partnerships/case-studies?queries_tags_query=3955199&result_4126600_result_page=3 ; https://research.unimelb.edu.au/partnerships/case-studies?result_4126600_result_page=1
our research,9,5,https://arts.unimelb.edu.au/school-of-languages-and-linguistics/our-research ; https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-research ; https://arts.unimelb.edu.au/school-of-culture-and-communication/our-research ; https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/our-research ; https://arts.unimelb.edu.au/language-testing-research-centre/research
covid,9,5,https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-research/comparative-network-on-refugee-externalisation-policies/news-and-events/past-news/covid-19-free-movement-and-protection-of-migrants ; https://eng.unimelb.edu.au/industry/water/events/covid-19-wastewater-surveillance-an-online-panel-discussion ; https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/further-support/covid-19-student-support ; https://law.unimelb.edu.au/covid-19 ; https://law.unimelb.edu.au/centres/cilis/news-and-events/past-cilis-event-recordings/covid-19-assessing-indonesias-response-online-conference
cross,9,5,https://arts.unimelb.edu.au/crippsinstitute/conservation-research/cross-cultural-conservation ; https://arts.unimelb.edu.au/crippsinstitute/grimwade-conservation-services/technical-analysis/cross-sections-of-paint-samples ; https://arts.unimelb.edu.au/students/graduate-coursework/enrichment/cross-institutional-study ; https://fbe.unimelb.edu.au/icrodsc/research/collaborations ; https://law.unimelb.edu.au/students/masters/studies/cross-institutional-study
alumni,9,6,https://biomedicalsciences.unimelb.edu.au/engage/alumni ; https://dental.unimelb.edu.au/engage/alumni ; https://education.unimelb.edu.au/cws/alumni ; https://education.unimelb.edu.au/community/alumni ; https://fbe.unimelb.edu.au/alumni
deans letter,9,1,"https://fbe.unimelb.edu.au/newsroom/deans-letter-end-of-semester-1,-2026 ; https://fbe.unimelb.edu.au/newsroom/deans-letter-start-of-semester-1,-2026 ; https://fbe.unimelb.edu.au/newsroom/deans-letter-end-of-semester-2-2025 ; https://fbe.unimelb.edu.au/newsroom/deans-letter-start-of-semester-2-2025 ; https://fbe.unimelb.edu.au/newsroom/deans-letter-end-of-semester-1-2025"
economic theory and experiments seminar,9,1,https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-and-experiments-seminar-chen-zhao-the-university-of-hong-kong ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-and-experiments-seminar-gabriele-gratton-unsw ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-and-experiments-seminar-olivier-bochet-new-york-university-abu-dhabi ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-and-experiments-seminar-martin-peitz-university-of-mannheim ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-and-experiments-seminar-aytek-erdil-university-of-cambridge
studio 11,9,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-11 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-11 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-11 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-11 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM1-Studios/studio-11
studio 19,9,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-19 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-19 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SUM-Studios/studio-19 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-19 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-19
studio 21,9,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-21 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-21 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-21 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-21 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SUM-Studios/studio-21
studio 05,9,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-05 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM1-Studios/studio-05 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM2-Studios/studio-05 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SUM-Studios/studio-05 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-05
short courses and micro,9,1,https://study.unimelb.edu.au/study-with-us/professional-development/micro-credentials-and-short-courses ; https://study.unimelb.edu.au/study-with-us/professional-development/micro-credentials-and-short-courses-for-individuals ; https://study.unimelb.edu.au/find/microcredentials/developing-insights-from-the-online-customer-journey/ ; https://study.unimelb.edu.au/find/microcredentials/comparative-analysis-of-customer-data ; https://study.unimelb.edu.au/find/microcredentials/developing-insights-from-the-online-customer-journey
engage with us,8,5,https://arts.unimelb.edu.au/engage ; https://eng.unimelb.edu.au/engage-with-us ; https://fbe.unimelb.edu.au/accounting/engage-with-us ; https://fbe.unimelb.edu.au/economics/engage-with-us ; https://fbe.unimelb.edu.au/managementmarketing/engage-with-us
doctor of philosophy,8,3,https://arts.unimelb.edu.au/language-testing-research-centre/students-and-teachers/doctor-of-philosophy-arts ; https://handbook.unimelb.edu.au/2026/courses/dr-philart ; https://handbook.unimelb.edu.au/2026/courses/dr-philbe ; https://handbook.unimelb.edu.au/2026/courses/dr-phillaw ; https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-arts/
contact,8,6,https://arts.unimelb.edu.au/research-unit-in-public-cultures/about/contact ; https://biomedicalsciences.unimelb.edu.au/study/current-student-information/university-health-hub ; https://biomedicalsciences.unimelb.edu.au/departments/microbiology-Immunology/research/services/microbiological-diagnostic-unit-public-health-laboratory/contact ; https://education.unimelb.edu.au/cws/contact ; https://education.unimelb.edu.au/3a/contact
2025,8,6,https://arts.unimelb.edu.au/ancient-medieval-and-early-modern-studies/seminars-reading-groups/medieval-round-table/2025 ; https://eng.unimelb.edu.au/csdila/news/2025 ; https://fbe.unimelb.edu.au/research/centres/gender-lab/news/2025-seed-grant-winners ; https://law.unimelb.edu.au/centres/mcle/news-and-events/conferences-and-seminars/2025 ; https://law.unimelb.edu.au/centres/celrl/news-and-events/past-events/2025
orientation,8,5,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/orientation ; https://fbe.unimelb.edu.au/students/bcom/orientation ; https://finearts-music.unimelb.edu.au/current-students/starting-out/orientation ; https://law.unimelb.edu.au/students/orientation ; https://law.unimelb.edu.au/students/jd/enrichment/orientation
pre,8,5,https://education.unimelb.edu.au/study/graduate-research/current-students/reviewscandidature-variations/pre-confirmation ; https://education.unimelb.edu.au/REEaCh/projects/preprep-project ; https://eng.unimelb.edu.au/ingenium/pre-eminent-engineer-andrew-whittaker-honoured-by-university ; https://mdhs.unimelb.edu.au/research/research-training/current-students/reviewscandidature-variations/pre-confirmation ; https://medicine.unimelb.edu.au/research-groups/obstetrics-and-gynaecology-research/maternal-fetal-medicine-pregnancy-research/pre-eclampsia-eclampsia
extend your student visa,8,2,https://education.unimelb.edu.au/study/graduate-research/current-students/international-students/renewing-your-student-visa ; https://students.unimelb.edu.au/course-admin/?external-uuid=50442e7a-9bed-4ded-8e81-383d973d6aca ; https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects/?external-uuid=50442e7a-9bed-4ded-8e81-383d973d6aca ; https://students.unimelb.edu.au/sandbox/2026-uplifts/student-visas/apply-for-a-student-visa/extend-your-student-visa ; https://students.unimelb.edu.au/student-support/international-student-support/visas/renewing-your-student-visa
internships,8,2,https://eng.unimelb.edu.au/students/coursework/industry-engagement/internship ; https://eng.unimelb.edu.au/students/coursework/progress-your-career/internship/internship-subjects ; https://eng.unimelb.edu.au/students/coursework/student-experience/internship ; https://eng.unimelb.edu.au/industry/students/internships ; https://eng.unimelb.edu.au/students/research/life-at-feit/internships
melbourne,8,2,https://mdhs.unimelb.edu.au/international-partnership/asia/Tsinghua-MDHS-partnership ; https://mdhs.unimelb.edu.au/international-partnership/asia/melbourne-fudan-university-partnership ; https://mdhs.unimelb.edu.au/international-partnership/europe/melbourne-cnrs-mdhs ; https://mdhs.unimelb.edu.au/international-partnership/europe/cookson-scholars-mdhs ; https://mdhs.unimelb.edu.au/international-partnership/europe/priestley-scholars-mdhs
student equity and disability services seds,8,2,https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/student-equity-and-disability-support ; https://students.unimelb.edu.au/student-support/student-equity-and-disability-services ; https://students.unimelb.edu.au/student-support/student-equity-and-disability-support ; https://students.unimelb.edu.au/student-support/student-equity-and-disability-support/disability-services ; https://students.unimelb.edu.au/support-and-wellbeing/student-equity-and-disability-services
research and scholarship activities,8,1,https://medicine.unimelb.edu.au/school-structure/medical-education/news-and-events/research-and-scholarship-activities-junejuly-2026 ; https://medicine.unimelb.edu.au/school-structure/medical-education/news-and-events/research-and-scholarship-activities-aprilmay-2026 ; https://medicine.unimelb.edu.au/school-structure/medical-education/news-and-events/research-and-scholarship-activities-februarymarch-2026 ; https://medicine.unimelb.edu.au/school-structure/medical-education/news-and-events/research-and-scholarship-activities-november-2025 ; https://medicine.unimelb.edu.au/school-structure/medical-education/news-and-events/research-and-scholarship-activities-septemberoctober-2025
studio 12,8,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-12 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-12 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/THE-2018_SM2-Studios/studio-12 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM1-Studios/studio-12 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-12
studio 14,8,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-14 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-14 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-14 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-14 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM2-Studios/studio-14
studio 26,8,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-26 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-26 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-26 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-26 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-26
studio 28,8,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-28 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-28 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SUM-Studios/studio-28 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-28 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-28
studio 32,8,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-32 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-32 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-32 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-32 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-32
studio 09,8,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-09 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM1-Studios/studio-09 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM2-Studios/studio-09 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-09 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/THE-2020_SM1-Studios/studio-09
studio 06,8,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM1-Studios/studio-06 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-06 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/THE-2019_SM2-Studios/studio-06 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-06 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/THE-2020_SM1-Studios/studio-06
fees and payments,8,1,https://study.unimelb.edu.au/how-to-apply/undergraduate-study/domestic-applications/fees-and-payments ; https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/domestic-applications/fees-and-payments ; https://study.unimelb.edu.au/how-to-apply/graduate-research/domestic-applications/fees-and-payments ; https://study.unimelb.edu.au/how-to-apply/undergraduate-study/international-applications/fees-and-payments ; https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/international-applications/fees-and-payments
our partners,7,4,https://arts.unimelb.edu.au/about/our-partners ; https://fbe.unimelb.edu.au/cmd/partnerships/our-partners ; https://fbe.unimelb.edu.au/cibl/our-partners ; https://medicine.unimelb.edu.au/engage/partners ; https://medicine.unimelb.edu.au/school-structure/medicine/research/lets-chat-dementia/overview/Partners
academic staff,7,3,https://arts.unimelb.edu.au/asia-institute/our-people/academic-staff ; https://arts.unimelb.edu.au/school-of-culture-and-communication/our-people/academic-staff ; https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/our-people/academic-staff ; https://arts.unimelb.edu.au/school-of-languages-and-linguistics/our-people/academic-staff ; https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-people/academic-staff
graduate researchers,7,4,https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-people/graduate-researchers ; https://eng.unimelb.edu.au/students/research ; https://eng.unimelb.edu.au/students/scholarships-prizes-and-awards/graduate-research-students ; https://eng.unimelb.edu.au/csdila/people/graduate-researchers ; https://law.unimelb.edu.au/students/grd
undergraduate study,7,3,https://arts.unimelb.edu.au/ancient-medieval-and-early-modern-studies/welcome/undergraduate ; https://fbe.unimelb.edu.au/accounting/study-with-us/undergraduate ; https://fbe.unimelb.edu.au/economics/study-with-us/undergraduate-study ; https://fbe.unimelb.edu.au/finance/study/undergraduate ; https://fbe.unimelb.edu.au/managementmarketing/study-with-us/undergraduate
non,7,5,https://arts.unimelb.edu.au/enlightenment-romanticism-contemporary-culture/themes/non-european-enlightenments-and-romanticisms ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/innate-immunity-anti-viral-immunity/non-classical-mhc-and-class-1-like-molecules ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/hiv-vaccines-immune-responses-to-hiv-1-immunotherapy/non-conventional-t-cells-HIV-role-of-NKT-cells-MAIT-cells-CD-1-restricted-gamma-delta-t-cells ; https://finearts-music.unimelb.edu.au/study-with-us/scholarships/scholarships-filters/non-discipline-specific ; https://research.unimelb.edu.au/commercialisation/business-and-investors/solutions-available-for-licensing/non-invasive-biomarker-for-diabetic-neuropathy
study at the university of melbourne,7,3,https://arts.unimelb.edu.au/student-hub2 ; https://research.unimelb.edu.au/home/study2 ; https://study.unimelb.edu.au/ ; https://study.unimelb.edu.au/?in_c=mega ; https://study.unimelb.edu.au/study-with-us
self,7,6,"https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/cd8-t-lymphocytes,-dendritic-cells,-self-tolerance-and-immunity/self-tolerance-interactions-between-thymic-stroma-and-dendritic-cells ; https://eng.unimelb.edu.au/students/coursework/student-experience/internship/self-sourced ; https://fbe.unimelb.edu.au/bcom/career/apply-your-learning/internship/self-sourced ; https://mbs.unimelb.edu.au/career/apply-your-learning/internship/self-sourced ; https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship/self-sourced"
engage,7,5,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/engage/centre-for-muscle-research/engage ; https://dental.unimelb.edu.au/engage ; https://law.unimelb.edu.au/centres/statelessness/engage ; https://mdhs.unimelb.edu.au/engage ; https://medicine.unimelb.edu.au/engage
international,7,3,https://dental.unimelb.edu.au/engage/partners/international-webpage ; https://fbe.unimelb.edu.au/centenary/collections/international ; https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/international ; https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/international?log=false&num_ranks=9&profile=_default&query=%7ClevelOfStudy%3Agraduate-research%7CstudentType%3Ainternational-students%7CareaOfStudy%3Alaw&collection=uom%7Esp-api-m1-scholarships&f.Application+status%7CapplicationStatus=open+for+automatic+consideration ; https://law.unimelb.edu.au/students/grd/scholarships-funding-and-prizes/international?log=false&num_ranks=9&profile=_default&query=%7ClevelOfStudy%3Agraduate-research%7CstudentType%3Ainternational-students%7CareaOfStudy%3Alaw&collection=uom%7Esp-api-m1-scholarships&f.Application+status%7CapplicationStatus=open+for+applications
honorary appointments,7,2,https://fbe.unimelb.edu.au/finance/our-people/honorary_appointments ; https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/engagment/honorary-appointments ; https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/engagment/honorary-appointments/honorary-appointments ; https://medicine.unimelb.edu.au/school-structure/critcare/engage/honorary-appointments ; https://medicine.unimelb.edu.au/school-structure/psychiatry/engage/honorary-appointments
economic theory seminar,7,1,https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-seminar-hulya-eraslan-rice-university ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-seminar-richard-holden-unsw ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-seminar-mert-kimya-usyd ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-seminar-francisco-da-silva-deakin-university ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-seminar-bing-liu-stanford
404,7,3,https://law.unimelb.edu.au/mls-staff-listing-records/institute-for-international-law-and-the-humanities/associate-members/judith-grbich/judith-grbich ; https://medicine.unimelb.edu.au/study/short-courses ; https://medicine.unimelb.edu.au/study/degrees ; https://study.unimelb.edu.au/discover/accommodation/university-accommodation ; https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-computer-science/
meet our students,7,2,https://medicine.unimelb.edu.au/school-structure/rural-health/rural-clinical-school/meet-our-students ; https://study.unimelb.edu.au/student-life/meet-our-students ; https://study.unimelb.edu.au/student-life/meet-our-students?result_161363_result_page=2 ; https://study.unimelb.edu.au/student-life/meet-our-students?result_161363_result_page=3 ; https://study.unimelb.edu.au/student-life/meet-our-students?result_161363_result_page=4
studio 36,7,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-36 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-36 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-36 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SUM-Studios/studio-36 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-36
entry requirements,7,1,https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/domestic-applications/entry-requirements ; https://study.unimelb.edu.au/how-to-apply/undergraduate-study/domestic-applications/entry-requirements ; https://study.unimelb.edu.au/how-to-apply/undergraduate-study/international-applications/entry-requirements ; https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/international-applications/entry-requirements ; https://study.unimelb.edu.au/how-to-apply/graduate-research/domestic-applications/entry-requirements
past news,6,1,https://arts.unimelb.edu.au/news/past-news ; https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news ; https://arts.unimelb.edu.au/enlightenment-romanticism-contemporary-culture/news-and-events/past-news ; https://arts.unimelb.edu.au/research-unit-for-indigenous-language/news-and-events/past-news ; https://arts.unimelb.edu.au/research-unit-in-public-cultures/news-and-events/past-news2
history,6,6,https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/discipline-areas/history ; https://biomedicalsciences.unimelb.edu.au/departments/microbiology-Immunology/about-us/history ; https://dental.unimelb.edu.au/about/history ; https://law.unimelb.edu.au/about/history ; https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/about-us/history
partnerships,6,5,https://arts.unimelb.edu.au/school-of-social-and-political-sciences/partnerships ; https://eng.unimelb.edu.au/industry ; https://eng.unimelb.edu.au/partnerships ; https://fbe.unimelb.edu.au/cmd/partnerships ; https://finearts-music.unimelb.edu.au/about-us/partnerships
graduate research,6,4,https://arts.unimelb.edu.au/students/graduate-research ; https://arts.unimelb.edu.au/ancient-medieval-and-early-modern-studies/welcome/graduate-research ; https://eng.unimelb.edu.au/research/graduate-research ; https://fbe.unimelb.edu.au/students/phd ; https://msd.unimelb.edu.au/research/graduate-research
staff,6,4,https://arts.unimelb.edu.au/ancient-medieval-and-early-modern-studies/staff ; https://biomedicalsciences.unimelb.edu.au/departments/microbiology-Immunology/bespoke-group/Kent-Laboratory-Blog/staff ; https://education.unimelb.edu.au/faces-of-education/staff ; https://law.unimelb.edu.au/centres/errn/about/staff ; https://law.unimelb.edu.au/centres/mclrn/about/staff
support us,6,5,https://arts.unimelb.edu.au/national-centre-for-contemporary-islamic-studies/about/support-us ; https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/engage/centre-for-muscle-research/engage/support-us ; https://eng.unimelb.edu.au/engage-with-us/giving ; https://fbe.unimelb.edu.au/scholarships/support ; https://msd.unimelb.edu.au/engagement-and-industry/support-abp
professional development,6,3,https://arts.unimelb.edu.au/engage/partner-with-us/develop-your-staff ; https://eng.unimelb.edu.au/study/professional-development ; https://study.unimelb.edu.au/study-with-us/professional-development/professional-development-for-individuals-support ; https://study.unimelb.edu.au/study-with-us/professional-development/contact-us?in_c=hcta ; https://study.unimelb.edu.au/study-with-us/professional-development/professional-development-for-individuals-support?in_c=hcta
partners,6,6,https://arts.unimelb.edu.au/research-unit-in-public-cultures/partners ; https://biomedicalsciences.unimelb.edu.au/engage/partners ; https://dental.unimelb.edu.au/engage/partners ; https://education.unimelb.edu.au/melbourne-metrics/our-research/matching-for-success/partners ; https://mdhs.unimelb.edu.au/CPC4Health/partners
class timetable,6,2,https://arts.unimelb.edu.au/students/graduate-coursework/class-timetable ; https://students.unimelb.edu.au/course-admin/class-timetable ; https://students.unimelb.edu.au/course-admin/class-timetable/how-to-find-your-classroom ; https://students.unimelb.edu.au/course-admin/class-timetable?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/support-and-wellbeing/stop-1/categories/timetable
teaching and learning,6,5,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/about/our-people/teaching-and-learning-specialists ; https://eng.unimelb.edu.au/ingenium/teaching-and-learning?in_c=homepage-browse ; https://eng.unimelb.edu.au/ingenium/teaching-and-learning ; https://fbe.unimelb.edu.au/economics/macrocentre/teaching ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/study/training/teaching-and-learning
research themes,6,2,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/engage/centre-for-muscle-research/research/cmr-research-themes ; https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/engage/scs/research/research-groups ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/research-groups ; https://medicine.unimelb.edu.au/school-structure/critcare/research/research-themes ; https://medicine.unimelb.edu.au/research/research-by-department/general-practice-research-groups
course planning,6,5,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/course-planning ; https://fbe.unimelb.edu.au/students/bcom/current-students ; https://finearts-music.unimelb.edu.au/current-students/course-planning ; https://msd.unimelb.edu.au/current-students/course-planning ; https://students.unimelb.edu.au/student-support/advice-and-help/stop-1/categories/course-planning
dent,6,1,https://dental.unimelb.edu.au/engage/alumni/dent-al ; https://dental.unimelb.edu.au/engage/alumni/dent-al/dent-al-2024 ; https://dental.unimelb.edu.au/engage/alumni/dent-al/dent-al-2023 ; https://dental.unimelb.edu.au/engage/alumni/dent-al/dent-al-2022 ; https://dental.unimelb.edu.au/engage/alumni/dent-al/dent-al-2021
